holeid,from,to,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE
MRCB21,487.5,488,9902.746783,11172.0155,-318.08475,4,11,1,0.08
MRCB21,488,488.5,9902.912098,11172.21274,-318.51325,4,11,1,0.2
MRCB21,488.5,489,9903.077413,11172.40999,-318.94175,4,11,1,0.04
MRCB21,489.5,490,9903.408043,11172.80448,-319.79875,4,11,1,0.08
MRCB21,490,490.5,9903.573358,11173.00172,-320.22725,5,11,0,0.01
MRCB21,490.5,491,9903.738673,11173.19897,-320.65575,5,11,0,0.01
MRCB21,491,491.5,9903.903988,11173.39621,-321.08425,5,11,0,0.01
MRCB21,491.5,492,9904.069303,11173.59346,-321.51275,5,11,0,0.28
MRCB21,492,492.5,9904.234618,11173.7907,-321.94125,5,11,0,0.04
MRCB21,492.5,493,9904.399933,11173.98795,-322.36975,5,11,0,0.01
MRCB21,493,493.5,9904.565248,11174.18519,-322.79825,6,11,0,0.01
MRCB21,493.5,494,9904.730563,11174.38244,-323.22675,6,11,0,0.07
MRCB21,494,494.5,9904.895878,11174.57968,-323.65525,6,11,0,0.04
MRCB21,494.5,495,9905.061193,11174.77693,-324.08375,6,11,0,0.06
MRCB21,495,495.5,9905.226508,11174.97417,-324.51225,6,11,0,0.01
MRCB21,495.5,496,9905.391823,11175.17142,-324.94075,6,11,0,0.13
MRCB21,496,496.5,9905.557138,11175.36866,-325.36925,7,12,0,0.04
MRCB21,496.5,497,9905.722453,11175.56591,-325.79775,7,12,0,0.06
MRCB21,497,497.5,9905.887768,11175.76315,-326.22625,7,12,0,0.01
MRCB21,497.5,498,9906.053083,11175.9604,-326.65475,7,12,0,0.01
MRCB21,498,498.5,9906.218398,11176.15764,-327.08325,7,12,0,0.09
MRCB21,498.5,499,9906.383713,11176.35489,-327.51175,7,12,0,0.05
MRCB21,499,499.5,9906.549028,11176.55213,-327.94025,8,11,0,0.23
MRCB21,499.5,500,9906.714343,11176.74938,-328.36875,8,11,0,0.1
MRCB21,500,500.5,9906.879658,11176.94662,-328.79725,8,11,0,0.14
MRCB21,500.5,501,9907.044973,11177.14387,-329.22575,8,11,0,0.18
MRCB21,501,501.5,9907.210288,11177.34111,-329.65425,8,11,0,0.27
MRCB21,501.5,502,9907.375603,11177.53836,-330.08275,8,11,0,0.11
MRCB21,502,502.5,9907.540918,11177.7356,-330.51125,8,11,0,0.12
MRCB21,502.5,503,9907.706233,11177.93285,-330.93975,8,11,0,0.26
MRCB21,503,503.5,9907.871548,11178.13009,-331.36825,8,11,0,0.06
MRCB21,503.5,504,9908.036863,11178.32734,-331.79675,8,11,0,0.17
MRCB21,504,504.5,9908.202178,11178.52458,-332.22525,8,11,0,0.26
MRCB21,504.5,505,9908.367493,11178.72183,-332.65375,8,11,0,0.06
MRCB21,505,505.5,9908.532808,11178.91907,-333.08225,8,11,0,0.16
MRCB21,505.5,506,9908.698123,11179.11632,-333.51075,8,11,0,0.07
MRCB21,506,506.5,9908.863438,11179.31356,-333.93925,8,11,0,0.04
MRCB21,506.5,507,9909.028753,11179.51081,-334.36775,1,8,2,0.03
MRCB21,507,507.5,9909.194068,11179.70805,-334.79625,1,8,2,0.04
MRCB21,507.5,508,9909.359383,11179.9053,-335.22475,1,8,2,0.01
MRCB21,508,508.5,9909.524698,11180.10254,-335.65325,1,8,0,0.03
MRCB21,508.5,509,9909.690013,11180.29979,-336.08175,1,8,0,0.02
MRCB21,509,509.5,9909.855328,11180.49703,-336.51025,1,8,0,0.01
MRCB21,509.5,510,9910.020643,11180.69428,-336.93875,8,13,0,0.04
MRCB21,510,510.5,9910.185958,11180.89152,-337.36725,8,13,0,0.06
MRCB21,510.5,511,9910.351273,11181.08877,-337.79575,8,13,0,0.17
MRCB21,511,511.5,9910.516588,11181.28601,-338.22425,8,13,0,0.36
MRCB21,511.5,512,9910.681903,11181.48326,-338.65275,8,13,0,0.04
MRCB21,512,512.5,9910.847218,11181.6805,-339.08125,8,13,0,0.03
MRCB21,512.5,513,9911.012533,11181.87775,-339.50975,8,13,0,0.04
MRCB21,513,513.5,9911.177848,11182.07499,-339.93825,8,13,0,0.05
MRCB21,513.5,514,9911.343163,11182.27224,-340.36675,8,13,0,0.1
MRCB21,514,514.5,9911.508478,11182.46948,-340.79525,8,14,1,0.06
MRCB21,514.5,515,9911.673793,11182.66673,-341.22375,8,15,1,0.06
MRCB21,515,515.5,9911.839108,11182.86397,-341.65225,8,15,1,0.11
MRCB21,515.5,516,9912.004423,11183.06122,-342.08075,8,15,1,0.13
MRCB21,516,516.5,9912.169738,11183.25846,-342.50925,8,15,1,0.14
MRCB21,516.5,517,9912.335053,11183.45571,-342.93775,8,15,1,0.07
MRCB21,517,517.5,9912.500368,11183.65295,-343.36625,8,8,0,0.02
MRCB21,517.5,518,9912.665683,11183.8502,-343.79475,8,8,0,0.03
MRCB21,518,518.5,9912.830998,11184.04744,-344.22325,8,8,0,0.01
MRCB21,518.5,519,9912.996313,11184.24469,-344.65175,8,8,0,0.01
MRCB21,519,519.5,9913.161628,11184.44193,-345.08025,8,8,0,0.01
MRCB21,519.5,520,9913.326943,11184.63918,-345.50875,8,8,0,0.03
MRCB21,520,520.5,9913.492258,11184.83642,-345.93725,8,8,0,0.04
MRCB21,520.5,521,9913.657573,11185.03367,-346.36575,8,8,0,0.07
MRCB21,521,521.5,9913.822888,11185.23091,-346.79425,8,8,0,0.03
MRCB21,521.5,522,9913.988203,11185.42816,-347.22275,8,8,0,0.18
MRCB21,522,522.5,9914.153518,11185.6254,-347.65125,8,8,0,0.08
MRCB21,522.5,523,9914.318833,11185.82265,-348.07975,8,8,0,0.01
MRCB21,523,523.5,9914.484148,11186.01989,-348.50825,9,8,0,0.01
MRCB21,523.5,524,9914.649463,11186.21714,-348.93675,9,8,0,0.01
MRCB21,529,529.5,9916.467928,11188.38683,-353.65025,9,14,2,0.03
MRCB21,529.5,530,9916.633243,11188.58408,-354.07875,9,14,2,0.03
MRCB21,530,530.5,9916.798558,11188.78132,-354.50725,9,14,2,0.01
MRCB21,530.5,531,9916.963873,11188.97857,-354.93575,9,14,2,0.01
MRCB21,531,531.5,9917.129188,11189.17581,-355.36425,9,14,2,0.01
MRCB21,531.5,532,9917.294503,11189.37306,-355.79275,10,14,0,0.01
MRCB21,532,532.5,9917.459818,11189.5703,-356.22125,10,14,0,0.07
MRCB21,532.5,533,9917.625133,11189.76755,-356.64975,10,14,0,0.01
